,GU,XCODE,YCODE,stationName
8682,관악구,126.95130163,37.4864744102,관악동부센트레빌아파트앞
8683,관악구,126.94517453889999,37.486964630100005,벽산.두산아파트.서울관광고등학교
8684,관악구,126.94223160879999,37.4861990912,은천초등학교
8685,관악구,126.9389872733,37.486262339899994,봉일시장
8686,관악구,126.9357111933,37.4864146917,은천교
8687,관악구,126.914797,37.480922,신림체육센터
8688,관악구,126.9156475816,37.477054906999996,난곡우체국사거리
8689,관악구,126.9168479874,37.4753427552,신일교회앞
8690,관악구,126.9181250454,37.4737910408,세이브마트앞
8691,관악구,126.9195218742,37.4722574159,남강중고등학교입구
8692,관악구,126.92001679389999,37.4703996697,우림시장.난곡보건분소
8693,관악구,126.92054078,37.4666919669,난우중학교입구
8694,관악구,126.9197341125,37.465149626599995,신림복지관앞
8695,관악구,126.919495,37.465357,신림복지관앞
8696,관악구,126.920348,37.467392,난우중학교입구
8697,관악구,126.91974177979999,37.470667112,우림시장.난곡보건분소
8698,관악구,126.9188803435,37.4727039262,남강중고등학교입구
8699,관악구,126.9171999826,37.4739868374,세이브마트앞
8700,관악구,126.916574,37.475398999999996,신일교회앞
8701,관악구,126.9154305767,37.4769808612,난곡우체국사거리
8702,관악구,126.9146624536,37.480315301,신림체육센터
8703,관악구,126.90529793610001,37.4811425901,KT구로지사
8704,관악구,126.90538001680001,37.4815094057,골목시장앞
8705,관악구,126.9073837832,37.483258236,조원동주민센터
8706,관악구,126.90717560729999,37.4833517875,조원동주민센터
8707,관악구,126.9130032118,37.4865794735,신대방역
8708,관악구,126.91307529129999,37.4868318358,신대방역
8709,관악구,126.91748973860001,37.4891229048,보라매공원입구
8710,관악구,126.91792818489999,37.4894187723,보라매공원입구
8711,관악구,126.92203860389999,37.489648634299996,보라매갑을아파트
8712,관악구,126.92526383709999,37.4896236853,롯데관악점.건강보험관악지사
8713,관악구,126.92590347790001,37.4900539148,롯데관악점.건강보험관악지사
8714,관악구,126.9270622168,37.4892995107,봉천교
8715,관악구,126.930483146,37.4879733454,당곡중학교
8716,관악구,126.9320393008,37.4878318762,당곡중학교
8717,관악구,126.9554672808,37.4907157496,봉현초등학교
8718,관악구,126.9553589378,37.4903444538,동아아파트105동앞
